"","Espanol","Matematicas","General"
"1","[222,404)","[224,424)","[246,418)"
"2","[404,430)","[424,456)","[418,446)"
"3","[430,448)","[456,479)","[446,466)"
"4","[448,464)","[479,499)","[466,483)"
"5","[464,479)","[499,518)","[483,499)"
"6","[479,495)","[518,536)","[499,515)"
"7","[495,510)","[536,556)","[515,532)"
"8","[510,529)","[556,580)","[532,552)"
"9","[529,556)","[580,612)","[552,580)"
"10","[556,726]","[612,836]","[580,727]"
