"","Espanol","Matematicas","General"
"1","[198,390)","[ 25.6,269)","[124,336)"
"2","[390,426)","[268.8,309)","[336,371)"
"3","[426,452)","[308.9,337)","[371,397)"
"4","[452,474)","[337.2,364)","[397,419)"
"5","[474,494)","[363.6,387)","[419,440)"
"6","[494,514)","[387.1,411)","[440,461)"
"7","[514,535)","[410.8,435)","[461,483)"
"8","[535,559)","[435.0,466)","[483,508)"
"9","[559,593)","[466.2,508)","[508,545)"
"10","[593,815]","[507.8,723]","[545,774]"
