"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"731","01PES0059T",617.504475097656,25,564.280229492187,25,579.723962783813,32,587.169555791219,82
"732","01DTV0019T",480.829139584401,61,465.081459776996,73,473.656718327449,52,473.189105896282,186
"733","01DTV0033M",408.252747326362,41,430.892760213216,45,457.128825061726,53,432.091444200435,139
"734","01DTV0045R",447.630302429199,104,441.279921868835,99,489.284642999822,99,459.398289099285,302
"735","01DTV0103R",446.800745646159,12,546.375518798828,18,426.941736557904,17,473.372667000964,47
"736","01DTV0184S",478.944601876395,21,474.330871582031,11,477.861647172408,11,477.045706876945,43
"737","01DTV0185R",438.71969749814,42,469.26399676005,24,462.341748555501,24,456.775147604564,90
"738","01DES0010W",475.241995536085,329,461.78865490221,292,483.902029553299,318,473.644226663865,939
"739","01DES0019N",514.874923622215,364,521.467803317397,335,541.02333640431,307,525.788687781307,1006
"740","01DES0025Y",523.3539500517,255,503.251933295013,237,524.550124332823,232,517.052002559845,724
"741","01PES0008M",617.929610308479,34,595.715290270354,19,591.94415150518,23,601.863017361337,76
"742","01PES0009L",619.085434894173,49,610.141932024275,35,617.598515625,25,615.608627514482,109
"743","01PES0033L",522.770526388417,23,583.474111703726,26,556.718145751953,20,554.320927948032,69
"744","01PES0051A",668.162895856585,35,639.918590087891,25,614.203282849542,29,640.761589598006,89
"745","01DES0002N",493.672212404625,107,493.913433669904,109,525.435853685652,112,504.34049992006,328
"746","01DES0006J",455.857796737828,194,437.703524708042,169,479.400376445115,198,457.653899296995,561
"747","01DES0032H",455.431760989918,340,448.013236707096,287,485.576181989728,264,463.007059895581,891
"748","01DES0035E",487.26509394581,442,460.259122510419,299,489.166542767585,267,478.896919741271,1008
"749","01DST0037V",467.996514873445,319,454.475691170528,290,488.742491875695,267,470.404899306556,876
"750","01PES0020H",519.833745683943,28,486.43191746303,35,549.844410221751,41,518.703357789575,104
"751","01PES0023E",632.202758789062,9,711.462178548177,3,680.267663574219,5,674.64420030382,17
"752","01PES0035J",519.964227294922,25,430.866128709581,18,489.450014981357,22,480.093456995287,65
"753","01PES0041U",619.972391941236,115,607.775270462036,80,618.151936509874,90,615.299866304382,285
"754","01PES0048N",575.948213195801,40,571.230876216182,54,614.24362250434,45,587.140903972108,139
"755","01DES0029U",506.554181055869,310,488.559034553903,305,518.321310935167,293,504.47817551498,908
"756","01DST0029M",574.252823147762,393,559.367279601894,389,554.47534244275,378,562.698481730802,1160
"757","01DST0036W",483.444276351727,379,491.586567437471,335,498.324616869895,329,491.118486886364,1043
"758","01DST0038U",446.892127299996,486,441.950985256716,417,468.329504133913,363,452.390872230208,1266
"759","01PES0047O",523.140075683594,2,0,0,499.851119995117,2,340.997065226237,4
"760","01PES0056W",525.011752479955,57,562.157939822175,43,555.248477511936,36,547.472723271355,136
"761","01PES0057V",549.288640340169,12,598.636890552662,27,538.861594645182,15,562.262375179338,54
"762","01PES0065D",532.294613690443,71,547.474769897461,50,580.404524303618,42,553.391302630508,163
"763","01PST0007F",473.208023533677,33,511.97354888916,28,517.11517530872,31,500.765582577186,92
"764","01DES0016Q",457.565914080084,361,444.428933457197,295,485.587119407903,306,462.527322315061,962
"765","01DES0023Z",459.751846108201,223,430.002167827678,212,468.651844081594,201,452.801952672491,636
"766","01DES0026X",462.914005778847,382,446.952426276538,331,520.729575991257,319,476.865336015547,1032
