"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"1","01DES0001O",472.978101260264,353,468.780713631652,383,515.489495902226,348,485.749436931381,1084
"2","01DES0002N",493.649887784905,109,481.719095246688,115,521.324557136087,102,498.89784672256,326
"3","01DES0003M",441.626568695595,464,457.706602118381,437,507.04678605412,439,468.793318956032,1340
"4","01DES0004L",469.47430985484,402,471.265090152418,367,523.24807462225,347,487.995824876503,1116
"5","01DES0005K",460.264915543373,99,446.32790469215,105,504.674418858119,98,470.422413031214,302
"6","01DES0006J",460.985380521385,186,459.94815999157,212,489.124397971413,220,470.019312828123,618
"7","01DES0007I",456.73106148739,149,449.093384708267,166,474.551850552029,180,460.125432249228,495
"8","01DES0008H",485.680616590712,441,477.959610597233,399,544.077610901924,409,502.572612696623,1249
"9","01DES0009G",606.095761757197,508,599.698234024362,486,635.396491650288,474,613.730162477282,1468
"10","01DES0010W",449.192005499478,290,468.951058728767,330,501.572350044928,338,473.238471424391,958
"11","01DES0011V",488.321761452691,362,477.597995805152,324,523.154866447226,342,496.358207901689,1028
"12","01DES0012U",458.252264639047,130,450.350587632921,144,517.102954440647,126,475.235268904205,400
"13","01DES0013T",439.604609551831,107,463.269874105648,98,498.517419484036,121,467.130634380505,326
"14","01DES0014S",423.625120644257,107,425.175393516139,95,459.241095127204,78,436.013869762533,280
"15","01DES0015R",438.039107704877,267,442.20217927165,241,515.392639636993,256,465.211308871174,764
"16","01DES0016Q",445.729415989522,318,436.213701966962,337,498.421740159255,325,460.121619371913,980
"17","01DES0017P",468.094432884039,215,443.609532133062,235,481.482001187509,228,464.395322068203,678
"18","01DES0018O",487.266219112289,249,490.494391818576,225,530.033192038536,256,502.597934323134,730
"19","01DES0019N",513.154019156538,359,505.887864242365,324,560.364120435263,317,526.468667944722,1000
"20","01DES0020C",481.437840642156,74,511.702728271484,66,542.069412056057,87,511.736660323232,227
"21","01DES0021B",472.160655420477,440,464.155582566527,413,536.958547615033,417,491.091595200679,1270
"22","01DES0022A",453.864326777851,279,457.806238318692,238,606.977879882813,250,506.216148326452,767
"23","01DES0023Z",432.639608606116,231,438.19006459136,219,465.115590438102,206,445.315087878526,656
"24","01DES0024Z",511.217403396906,255,505.037255835809,259,557.87431145533,233,524.709656896015,747
"25","01DES0025Y",477.265134890217,242,471.316433390633,244,521.169931310386,207,489.917166530412,693
"26","01DES0026X",456.962208552971,367,474.960312063044,352,510.216427012386,351,480.7129825428,1070
"27","01DES0027W",436.740237607794,236,459.426188064834,236,509.467922047672,234,468.544782573433,706
"28","01DES0028V",468.686136165135,71,458.030326843262,76,502.583945340888,86,476.433469449762,233
"29","01DES0029U",493.96730069674,325,488.125004387511,313,560.243260183152,314,514.111855089134,952
"30","01DES0030J",469.565599244216,116,491.871784508747,115,530.474362182617,90,497.30391531186,321
"31","01DES0031I",451.075431444732,463,477.166170946324,441,514.986582820577,399,481.076061737211,1303
"32","01DES0032H",435.009053497314,300,434.086875307387,276,470.999919389824,251,446.698616064842,827
"33","01DES0033G",472.416117858887,40,559.538904005481,31,576.705237388611,32,536.22008641766,103
"34","01DES0034F",454.835975827764,211,458.542625593103,184,471.663811297456,121,461.680804239441,516
"35","01DES0035E",451.800325567072,308,471.401299170462,271,481.49354912253,204,468.231724620021,783
"36","01DES0036D",535.568897932004,156,590.785354902159,106,0,0,375.451417611388,262
"37","01DES0037C",438.860904816658,31,396.447157608835,38,428.807105786873,33,421.371722737455,102
"38","01DES0038B",501.655455216118,23,519.874786376953,22,0,0,340.510080531024,45
"625","01DST0001G",594.38851582061,493,615.38072434092,492,652.410788436315,478,620.726676199281,1463
"626","01DST0002F",435.397671577626,133,470.285426520055,153,498.836387961251,140,468.173162019644,426
"627","01DST0003E",473.488309257261,310,467.495321717981,292,529.049104690552,288,490.010911888598,890
