"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"756","01DST0029M",580.460517592103,393,598.799822182153,389,581.464383564298,378,586.908241112851,1160
"757","01DST0036W",491.469655059573,379,493.195807613544,335,510.48957759776,329,498.385013423626,1043
"758","01DST0038U",456.51940801801,486,472.167718608316,417,481.900997445603,363,470.19604135731,1266
"759","01PES0047O",410.301239013672,2,0,0,541.436050415039,2,317.245763142904,4
"760","01PES0056W",515.546261436061,57,589.021550378134,43,555.433123270671,36,553.333645028289,136
"761","01PES0057V",573.956901550293,12,589.435987684462,27,594.891400146484,15,586.09476312708,54
"762","01PES0065D",515.688662032007,71,557.889392089844,50,557.378282092866,42,543.652112071572,163
"763","01PST0007F",481.319908373284,33,501.950125558036,28,502.617523193359,31,495.295852374893,92
"764","01DES0016Q",462.332968841299,361,487.983294160487,295,474.850309783337,306,475.055524261708,962
"765","01DES0023Z",460.509400919414,223,462.869817049998,212,516.469096017714,201,479.949437995709,636
"766","01DES0026X",484.873210966899,382,506.417327419869,331,578.032346336819,319,523.107628241196,1032
"767","01DST0022T",515.214409926842,406,522.458035686823,381,528.245707259011,313,521.972717624225,1100
"768","01PES0003R",605.42682723999,40,625.227319125471,29,622.426139322917,30,617.693428562793,99
"769","01PES0004Q",652.655736923218,32,651.962184651693,30,634.805183859432,34,646.474368478114,96
"770","01PES0037H",674.272311401367,40,661.632865687779,35,673.595422363281,30,669.833533150809,105
"771","01DES0013T",471.75172052628,156,483.958067975725,105,589.013367315736,99,514.907718605913,360
"772","01DES0031I",480.560226957677,472,493.629085353163,427,519.249027615946,409,497.812779975595,1308
"773","01DES0034F",470.431419489038,262,475.187963377755,212,506.995718530862,166,484.205033799218,640
"774","01PES0045Q",543.029442681207,36,550.241837274461,21,514.276496887207,28,535.849258947625,85
"775","01PES0055X",524.62221476237,15,623.356582641602,4,627.833056131999,12,591.93728451199,31
"776","01PES0062G",606.527575041118,19,618.489673614502,16,726.148510742187,5,650.388586465936,40
"777","01PES0063F",540.053232263636,27,581.657190496271,11,585.637484463778,22,569.115969074562,60
"778","01PES0064E",471.799018012153,9,504.607696533203,2,0,0,325.468904848452,11
"779","01DES0015R",468.556307543505,222,481.390947356937,254,513.843500868182,214,487.930251922875,690
"780","01DES0030J",488.308270045689,112,497.745340120994,118,507.025335067358,117,497.69298174468,347
"781","01DST0021U",447.437557019685,152,489.614617361149,142,505.965000152588,128,481.005724844474,422
"782","01DST0024R",519.796517071239,374,554.116830275288,343,545.541126145583,325,539.818157830704,1042
"783","01DST0030B",496.239832420872,146,481.046812724292,123,516.869139148343,124,498.051928097836,393
"784","01PES0011Z",467.38195461697,9,496.291926066081,12,441.151867336697,18,468.275249339916,39
"785","01PES0027A",537.880805382362,39,615.008884739231,37,555.211567905971,35,569.367086009188,111
