"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"692","01DES0001O",502.808343474398,388,483.393633704685,353,501.96148479944,348,496.054487326174,1089
"693","01DES0023Z",471.154831559691,219,455.610212887035,204,514.324831449068,208,480.363291965265,631
"694","01PES0009L",555.903704243322,31,598.294218918373,29,575.826655387878,32,576.674859516524,92
"695","01PES0011Z",543.06691148546,9,547.288524627686,8,456.870867411296,12,515.742101174814,29
"696","01PES0030O",552.168450249566,18,472.049784342448,9,570.217741012573,16,531.478658534862,43
"697","01PES0044R",415.200134277344,5,0,0,447.304982503255,3,287.501705593533,8
"698","01PST0005H",506.182869359067,19,465.393081665039,20,472.482590993245,24,481.352847339117,63
"699","01PST0006G",648.643159754136,17,643.056512196859,24,640.064147949219,13,643.921273300071,54
"700","01DES0009G",631.968219473342,484,609.747305697027,474,661.816911961005,492,634.510812377125,1450
"701","01DES0015R",492.316476500268,255,466.358059300523,257,495.657965805951,255,484.777500535581,767
"702","01DES0022A",538.482123355316,243,505.87897946707,243,575.302617721227,231,539.887906847871,717
"703","01DST0005C",579.257881416762,484,560.461012838211,463,592.373791878684,456,577.364228711219,1403
"704","01DST0034Y",512.504248785866,223,507.264673847534,239,544.850785028367,210,521.539902553922,672
"705","01PES0006O",540.921000513537,58,557.44836710612,75,578.284568540512,62,558.884645386723,195
"706","01PES0012Z",641.393316024389,39,678.917561848958,48,697.267879176784,37,672.526252350044,124
"707","01PES0027A",532.91378922896,22,568.524854219877,26,569.236358642578,40,556.891667363805,88
"708","01PES0039F",516.44423828125,15,554.164744059245,12,593.811296251085,9,554.806759530527,36
"709","01PES0046P",510.87929159908,59,461.141366958618,80,528.025611475894,76,500.015423344531,215
"710","01PES0061H",503.502246856689,16,577.040370396205,7,0,0,360.180872417632,23
"711","01DES0028V",520.75834102907,69,494.442567692247,86,498.612138227983,77,504.6043489831,232
"712","01DST0002F",499.083202851124,156,499.539448038737,150,533.153893576728,144,510.592181488863,450
"713","01DST0020V",502.939564455677,287,500.196340158981,261,512.748103607678,305,505.294669407445,853
"714","01PES0002S",600.059038532314,134,610.4391373762,127,635.644490981243,169,615.380888963252,430
"715","01PES0010A",602.153275501879,79,600.02667760849,64,604.443129255965,74,602.207694122111,217
"716","01PES0050B",639.587249755859,54,626.46986579895,48,659.708185440455,39,641.921766998421,141
"717","01PES0052Z",489.041035970052,9,484.066214425223,7,506.432106018066,8,493.179785471114,24
"718","01PES0054Y",606.609954833984,15,510.804728632388,23,503.335891723633,22,540.250191730002,60
"719","01PST0004I",513.730780029297,10,562.95480855306,6,567.540100097656,10,548.075229560004,26
"720","01DTV0001U",529.091400146484,25,516.308322482639,18,543.115697224935,12,529.505139951353,55
"721","01DTV0006P",546.722727457682,18,619.254876708984,10,705.585116299716,11,623.854240155461,39
"722","01DTV0032N",493.206025390625,50,500.583882207456,46,491.228812081473,49,495.006239893185,145
"723","01DTV0034L",466.795484017635,69,504.886603556888,71,517.791955462957,59,496.49134767916,199
"724","01DTV0062H",523.488858904157,14,515.691516113281,15,567.212875366211,14,535.46441679455,43
"725","01DTV0067C",472.64757343367,51,461.081320369945,68,511.09070117657,52,481.606531660062,171
"726","01DTV0104Q",471.858866373698,3,421.591021728516,5,481.179547991071,7,458.209812031095,15
"727","01DTV0105P",509.725596836635,14,522.593185424805,10,533.953063964844,10,522.090615408761,34
"728","01DES0008H",511.552116688147,441,532.987965217003,416,536.338742007576,422,526.959607970909,1279
"729","01DES0024Z",543.17387004214,257,525.847378024807,231,537.109400749207,160,535.376882938718,648
"730","01DES0027W",486.79669921875,250,474.17056401043,241,479.662329371196,249,480.209864200125,740
"731","01DST0001G",638.454011933142,476,619.979138271868,484,640.146913049576,470,632.860021084862,1430
