"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"62","01DES0006J",457.653899296995,500.889295006515,561,561,479.271597151755
"63","01DES0032H",463.007059895581,489.761354700348,891,891,476.384207297965
"64","01DES0035E",478.896919741271,497.917374773411,1008,1008,488.407147257341
"65","01DST0037V",470.404899306556,496.7005096938,876,876,483.552704500178
"66","01PES0020H",518.703357789575,544.132148136578,104,104,531.417752963077
"67","01PES0023E",674.64420030382,735.575363498264,17,17,705.109781901042
"68","01PES0035J",480.093456995287,573.538745750145,65,65,526.816101372716
"69","01PES0041U",615.299866304382,630.531555956535,285,285,622.915711130458
"70","01PES0048N",587.140903972108,669.852150773413,139,139,628.496527372761
"71","01DES0029U",504.47817551498,531.436300628293,908,908,517.957238071637
"72","01DST0029M",562.698481730802,586.908241112851,1160,1160,574.803361421826
"73","01DST0036W",491.118486886364,498.385013423626,1043,1043,494.751750154995
"74","01DST0038U",452.390872230208,470.19604135731,1266,1266,461.293456793759
"75","01PES0047O",340.997065226237,317.245763142904,4,4,329.121414184571
"76","01PES0056W",547.472723271355,553.333645028289,136,136,550.403184149822
"77","01PES0057V",562.262375179338,586.09476312708,54,54,574.178569153209
"78","01PES0065D",553.391302630508,543.652112071572,163,163,548.52170735104
"79","01PST0007F",500.765582577186,495.295852374893,92,92,498.03071747604
"80","01DES0016Q",462.527322315061,475.055524261708,962,962,468.791423288385
"81","01DES0023Z",452.801952672491,479.949437995709,636,636,466.3756953341
"82","01DES0026X",476.865336015547,523.107628241196,1032,1032,499.986482128372
"83","01DST0022T",506.619320449138,521.972717624225,1100,1100,514.296019036682
"84","01PES0003R",605.088450938258,617.693428562793,99,99,611.390939750525
"85","01PES0004Q",593.545129025528,646.474368478114,96,96,620.009748751821
"86","01PES0037H",621.943435995919,669.833533150809,105,105,645.888484573364
"87","01DES0013T",454.367189371484,514.907718605913,360,360,484.637453988699
"88","01DES0031I",493.391713892267,497.812779975595,1308,1308,495.602246933931
"89","01DES0034F",450.667895858851,484.205033799218,640,640,467.436464829034
"90","01PES0045Q",541.517208119549,535.849258947625,85,85,538.683233533587
"91","01PES0055X",574.017897033691,591.93728451199,31,31,582.977590772841
"92","01PES0062G",625.498416954174,650.388586465936,40,40,637.943501710055
"93","01PES0063F",578.97778227835,569.115969074562,60,60,574.046875676456
"94","01PES0064E",263.714123196072,325.468904848452,11,11,294.591514022262
"95","01DES0015R",470.241719268649,487.930251922875,690,690,479.085985595762
"96","01DES0030J",495.834451416305,497.69298174468,347,347,496.763716580493
"97","01DST0021U",449.618093414839,481.005724844474,422,422,465.311909129656
"98","01DST0024R",511.991338121654,539.818157830704,1042,1042,525.904747976179
"99","01DST0030B",485.942118822614,498.051928097836,393,393,491.997023460225
"100","01PES0011Z",481.688455652308,468.275249339916,39,39,474.981852496112
"101","01PES0027A",577.160041713661,569.367086009188,111,111,573.263563861424
"102","01PES0039F",613.760175156513,604.34168080545,35,35,609.050927980981
"103","01PES0061H",589.393503054224,596.568375558564,28,28,592.980939306394
"104","01DTV0030P",489.49869270617,564.730485869855,81,81,527.114589288012
"105","01DTV0049N",425.819832701884,488.913795902885,123,123,457.366814302385
"106","01DTV0050C",446.74498163859,548.141734568278,30,30,497.443358103434
"107","01DTV0057W",468.109952233321,518.621269327288,92,92,493.365610780305
"108","01DTV0060J",445.78557948542,513.901289817965,70,70,479.843434651693
