"","cct","Promedio2011","Promedio2010","Promedio2009"
"151","01DTV0092B",438.191699315631,487.829519847083,434.645386872468
"152","01DTV0093A",486.651249610053,494.498587036133,491.957193586561
"153","01DTV0095Z",627.774586183649,540.806412153978,616.633701707951
"154","01DTV0096Y",720.577183308414,601.298216883342,545.813946150552
"155","01DTV0097X",505.284704844157,549.380900065104,517.372502221002
"156","01DTV0098W",546.903818526783,613.322469837288,463.903867252394
"157","01DTV0099V",533.534823749317,686.727499734788,543.706955170735
"158","01DTV0100U",400.620988972982,506.742010945021,572.983938429091
"159","01DTV0101T",632.611226073697,646.234627569289,639.573044077555
"160","01DTV0102S",486.41009668807,480.786303857231,469.297048871174
"161","01DTV0103R",552.10044993814,563.845254066663,484.688501460969
"162","01DTV0104Q",422.257068775318,466.12776127568,458.209812031095
"163","01DTV0105P",475.853551136364,495.090641923384,522.090615408761
"164","01DTV0106O",593.636512629191,508.416791876768,479.701958429246
"165","01DTV0107N",520.105542192555,526.518030049092,474.002745657256
"166","01DTV0108M",462.154062804836,480.295840754653,460.24108783232
"167","01DTV0109L",414.154074615214,431.609569408275,459.095139567057
"168","01DTV0110A",543.932392560151,551.954074036841,542.720916876272
"169","01DTV0111Z",574.36147259909,522.32661014133,493.713035537257
"170","01DTV0112Z",565.983895874023,648.704600443095,434.177588521369
"171","01DTV0113Y",557.403852396473,568.831039255908,529.095284616845
"172","01DTV0114X",651.352621046091,577.722782255474,488.240402596457
"173","01DTV0115W",675.220170822292,622.512576597461,486.572117073826
"174","01DTV0117U",552.833645155779,591.335579886803,530.271925680978
"175","01DTV0118T",580.352181589992,671.96889847044,465.520673570179
"176","01DTV0119S",515.60368828867,473.786286997656,455.683164864999
"177","01DTV0120H",574.82768647165,441.973997713339,416.919002802685
"178","01DTV0121G",598.23142026871,558.847801717122,475.625552085594
"179","01DTV0123E",478.118633007346,531.626914808485,497.403036583157
"180","01DTV0124D",513.634046766493,513.073627330639,471.099581829395
"181","01DTV0126B",551.046293396881,510.732031134022,556.479582131758
"182","01DTV0127A",611.288124932183,564.285329182943,546.035199483236
"183","01DTV0129Z",503.596419101291,467.05699005127,428.854926045736
"184","01DTV0131N",477.085731439423,475.238074517629,514.237010185046
"185","01DTV0132M",541.714015875922,616.875674100353,546.120630918432
"186","01DTV0134K",545.186869254945,530.077594873488,532.306502756446
"187","01DTV0135J",480.62383970603,528.812881479175,526.73736843533
