"","cct","cal_mat1","N1","cal_mat2","N2","cal_mat3","N3","PromedioSecundaria","NTotal"
"678","01DES0021B",505.539086428556,440,503.710891612794,413,553.975865242864,417,521.075281094738,1270
"679","01DES0022A",492.680352542563,279,563.558250747809,238,722.498188598633,250,592.912263963001,767
"680","01DES0033G",558.691608428955,40,606.59184117471,31,604.487743377686,32,589.923730993784,103
"681","01DES0038B",537.01727427607,23,566.529138738459,22,0,0,367.848804338176,45
"682","01DST0035X",554.853698418428,489,552.012564132463,469,565.662664912801,466,557.509642487897,1424
"683","01PST0005H",527.230051040649,32,559.592724609375,20,479.413823908026,22,522.07886651935,74
"684","01DES0011V",508.844140152905,362,522.251627792547,324,548.013859977499,342,526.369875974317,1028
"685","01DES0017P",497.586686813,215,475.83382035925,235,520.410736887079,228,497.943748019776,678
"686","01DST0005C",571.428527278285,496,575.95611823276,462,613.173654331131,449,586.852766614059,1407
"687","01PES0006O",555.891780946313,41,489.752465072943,49,599.191193056778,71,548.278479692011,161
"688","01PES0012Z",663.588040520163,34,681.66106499566,36,681.270186767578,50,675.506430761134,120
"689","01PES0044R",483.646283830915,7,566.319244384766,3,473.571482340495,3,507.845670185392,13
"690","01PES0046P",552.26047988165,84,504.1259862264,60,516.636799552224,88,524.341088553425,232
"691","01DES0007I",494.698216380689,149,526.169891725104,166,501.267702060276,180,507.378603388689,495
"692","01DES0028V",530.32563846212,71,512.350689536647,76,510.331214372502,86,517.669180790423,233
"693","01DST0002F",474.716657595527,133,521.576232511234,153,516.100188337054,140,504.131026147938,426
"694","01DST0031A",470.775969411813,204,476.544579608624,195,485.966093575614,175,477.762214198683,574
"695","01DST0034Y",504.781486599602,259,494.157225442589,218,523.073339001886,232,507.337350348025,709
"696","01PES0002S",581.486823562096,145,602.939347301456,139,614.547964406568,129,599.65804509004,413
"697","01PES0010A",615.763414803198,59,580.568228107609,73,631.706841304384,58,609.346161405064,190
"698","01PES0030O",544.427469889323,27,506.664912173623,19,485.080789419321,13,512.057723827422,59
"699","01PES0067B",689.686238606771,3,668.843139648438,4,0,0,452.84312608507,7
"700","01PST0006G",601.081614685059,20,643.766641235352,20,674.164665222168,24,639.670973714193,64
"701","01DTV0001U",613.423639933268,24,522.939142862956,18,537.708889431424,18,558.023890742549,60
"702","01DTV0006P",519.414893655216,17,567.191709245954,14,669.373836517334,8,585.326813139501,39
"703","01DTV0032N",508.745909225109,43,484.955100377401,48,534.310487968977,43,509.337165857162,134
"704","01DTV0034L",502.312240176731,72,499.711322893415,70,519.65632351962,66,507.226628863255,208
"705","01DTV0062H",563.879264831543,12,485.619285583496,12,560.119272867839,12,536.539274427626,36
"706","01DTV0067C",510.23041081083,69,463.41063814385,43,477.690921414283,62,483.777323456321,174
"707","01DTV0104Q",443.876315646701,9,473.240061442057,3,481.266906738281,5,466.12776127568,17
"708","01DTV0105P",465.999572753906,12,498.768077503551,11,520.504275512695,10,495.090641923384,33
"709","01DES0001O",487.495340233822,353,483.338108789827,383,515.57958063586,348,495.471009886503,1084
"710","01DES0009G",632.441411596584,508,629.528647968308,486,680.995076433013,474,647.655045332635,1468
"711","01DST0020V",499.269264596408,244,522.380664810824,261,524.267986420662,248,515.305971942631,753
"712","01PES0040V",549.197641601563,25,569.680836995443,33,526.369593302409,30,548.416023966471,88
"713","01PES0050B",653.724506246633,58,687.417552091637,49,675.655443572998,40,672.265833970423,147
"714","01PES0052Z",405.921161651611,8,483.569085693359,5,513.467808314732,7,467.652685219901,20
"715","01PES0054Y",475.147891235352,10,585.649251302083,15,512.241539364769,21,524.346227300735,46
"716","01PST0004I",572.461803436279,8,639.307692094283,11,499.672402954102,10,570.480632828221,29
"717","01DES0008H",510.23439755948,441,511.475103928033,399,580.179355686626,409,533.96295239138,1249
"718","01DES0024Z",555.521327957453,255,547.752378250181,259,566.657632459387,233,556.643779555673,747
"719","01DES0027W",473.691162109375,236,494.985740273686,236,511.289053892478,234,493.32198542518,706
"720","01DST0001G",621.76670444326,493,629.040602459171,492,668.116206851464,478,639.641171251299,1463
"721","01PES0024D",574.166943524335,74,632.780738508198,71,652.199122275076,93,619.715601435869,238
"722","01PES0031N",536.051488037109,75,578.690562300249,55,612.279934298608,62,575.673994878655,192
"723","01PES0034K",641.817592075893,7,526.223369598389,8,532.497866312663,12,566.846275995648,27
"724","01PES0053Z",704.238055419922,10,683.823028564453,6,578.667762756348,4,655.576282246908,20
"725","01PES0059T",525.616276134144,22,587.387033081055,30,599.559811062283,27,570.854373425827,79
"726","01DTV0019T",513.605599975586,70,523.526402887308,53,530.934135173929,58,522.688712678941,181
"727","01DTV0033M",522.387623426649,45,476.033936698482,53,519.004279352004,31,505.808613159045,129
"728","01DTV0045R",501.881917317708,96,522.760641958199,102,556.718235667159,82,527.120264981022,280
"729","01DTV0103R",592.024368286133,18,535.551090240479,16,563.960303673377,13,563.845254066663,47
"730","01DTV0184S",558.550595092773,10,440.915240478516,10,548.279429117839,9,515.915088229709,29
"731","01DTV0185R",462.290643865412,22,442.26119656033,27,523.65908578726,13,476.070308737667,62
"732","01DES0010W",490.323814760405,290,490.935671442205,330,501.998184745834,338,494.419223649481,958
"733","01DES0019N",543.265719357971,359,533.239436585226,324,585.694821041841,317,554.066658995013,1000
"734","01DES0025Y",510.040719024406,242,497.302350153689,244,535.922449526579,207,514.421839568225,693
"735","01PES0008M",611.055218240489,23,640.588673095703,25,637.324272519066,21,629.656054618419,69
"736","01PES0009L",620.947441839403,31,556.670345730252,27,588.488072509766,25,588.701953359807,83
"737","01PES0033L",553.621053842398,26,524.72764470027,26,580.04625742059,38,552.798318654419,90
"738","01PES0051A",695.203605651855,24,630.593041781721,29,712.817403157552,27,679.53801686371,80
"739","01DES0002N",521.401805912683,109,490.298001762058,115,518.29614796358,102,509.99865187944,326
"740","01DES0006J",477.189585039693,186,509.482873304835,212,520.879123202237,220,502.517193848922,618
"741","01DES0032H",469.850050048828,300,478.986313750778,276,490.617667391956,251,479.818010397187,827
"742","01DES0035E",484.783326681558,308,485.350450691702,271,512.416997572955,204,494.183591648738,783
"743","01DST0037V",514.821215738386,298,508.787148580857,281,563.903173737366,269,529.170512685536,848
"744","01PES0020H",531.138628133138,30,563.261388142904,36,543.451334139196,41,545.950450138413,107
"745","01PES0023E",668.670227050781,2,712.525537109375,5,634.418347167969,5,671.871370442708,12
"746","01PES0035J",549.210998535156,14,582.281477050781,25,553.926092238653,21,561.806189274864,60
"747","01PES0041U",641.438659300287,83,649.771795295267,85,624.342434550441,86,638.517629715331,254
"748","01PES0048N",625.454006564233,62,642.547362554641,42,633.40773664202,35,633.803035253631,139
