"","cct","Promedio2011","Promedio2010","Promedio2009"
"102","01DTV0036J",483.149392845517,490.484615961711,467.497885969858
"103","01DTV0038H",413.680350325163,430.894867630599,447.649035190718
"104","01DTV0039G",472.948067438035,480.946879460261,514.887944477906
"105","01DTV0040W",499.676439338303,425.14738642738,468.009510378962
"106","01DTV0041V",425.973617069455,427.214245500236,448.99209252042
"107","01DTV0042U",444.301430928062,436.211802076257,473.783375996938
"108","01DTV0043T",506.051650511167,503.128694292778,478.752164804422
"109","01DTV0045R",459.398289099285,475.727683846619,494.417579324963
"110","01DTV0046Q",408.7221125483,427.399941102102,461.280368098506
"111","01DTV0047P",518.382230963159,565.295884971013,501.047003114857
"112","01DTV0048O",455.355741758044,496.418519303356,509.340770069267
"113","01DTV0049N",425.819832701884,439.035395106097,485.632576027118
"114","01DTV0050C",446.74498163859,413.771229034321,466.451367856183
"115","01DTV0051B",461.592521143204,491.563038678105,528.474964372379
"116","01DTV0052A",512.247591339596,481.026610056559,492.349073339392
"117","01DTV0053Z",510.648955161899,459.58893709536,485.015863418579
"118","01DTV0054Z",540.516493782165,533.544650912311,498.893600609189
"119","01DTV0056X",377.845354010334,415.314259180947,446.478572304228
"120","01DTV0057W",468.109952233321,449.60711602105,447.361459951918
"121","01DTV0060J",445.78557948542,464.645969467557,494.931301152265
"122","01DTV0061I",450.101453138453,455.553561873663,481.821745851385
"123","01DTV0062H",478.794331529405,504.853424919976,507.25879473005
"124","01DTV0065E",473.458398125448,477.609786787955,519.146195730134
"125","01DTV0066D",482.938422823278,469.561591984124,496.996053738064
"126","01DTV0067C",451.509711203151,430.182814901604,458.550600050921
"127","01DTV0068B",471.245766491004,460.06440437106,467.535822399752
"128","01DTV0069A",476.520370453995,467.399517130463,490.56474341763
"129","01DTV0070Q",435.31148445036,433.8623068404,466.481839083448
"130","01DTV0071P",463.092215122321,462.831876922072,489.188910902592
"131","01DTV0072O",495.672660677361,482.040377372608,504.406245761447
"132","01DTV0073N",430.47537433927,431.623298355953,482.77086749414
"133","01DTV0074M",436.064981847315,399.020487992459,467.109144590336
"134","01DTV0075L",467.694024140329,472.293577843669,457.24942330788
"135","01DTV0076K",501.202675161992,456.42197276968,466.612200419108
"136","01DTV0077J",477.550783743266,495.789244364178,544.340981130889
"137","01DTV0078I",477.955199994945,462.843027687306,484.214142572312
"138","01DTV0079H",404.653991912628,426.348611344507,442.431434588962
"139","01DTV0080X",451.538208562551,460.654658707074,477.770841000159
"140","01DTV0081W",422.912867880275,423.731306594941,432.768788102385
"141","01DTV0082V",390.190048508417,428.372484657981,450.312676385436
"142","01DTV0083U",414.123027591184,420.031916034405,454.713897599234
"143","01DTV0084T",455.808520846897,444.188023562154,470.679401312934
"144","01DTV0085S",453.549772447906,471.363384337652,482.007389292091
"145","01DTV0086R",451.481933157785,593.531728477727,449.987250945628
"146","01DTV0087Q",442.828635523869,447.499980754514,453.959764329314
"147","01DTV0088P",487.442953265155,462.090167181832,470.215723830003
"148","01DTV0089O",427.781690244321,429.990031828704,437.563961174375
"149","01DTV0090D",428.270015244257,431.437703369787,477.553926789527
"150","01DTV0091C",466.6585963746,458.655627950033,478.341317880033
"151","01DTV0092B",410.839623587472,443.62077416314,411.650853474935
"152","01DTV0093A",462.521377902561,475.075725640191,490.635986328125
"153","01DTV0095Z",492.338703659227,498.940606200389,527.066210953647
"154","01DTV0096Y",595.483803613635,524.182859095821,491.482922780575
"155","01DTV0097X",438.57009379069,485.843804677327,516.668454346833
"156","01DTV0098W",462.680607882413,475.036878214893,452.981437098478
"157","01DTV0099V",434.255739638644,509.28693871271,479.828305042151
"158","01DTV0100U",347.995540364583,426.196975708008,517.132336934408
"159","01DTV0101T",520.038335816473,558.756398954846,551.137817637126
"160","01DTV0102S",454.173433601585,425.223151352626,437.91165738628
"161","01DTV0103R",473.372667000964,479.014553887892,452.574528721401
"162","01DTV0104Q",451.990490948712,433.653825774016,438.337936449808
"163","01DTV0105P",426.255701685433,443.121576205167,507.716990298317
"164","01DTV0106O",490.509567048815,444.706788478753,466.651598612467
"165","01DTV0107N",460.931263709791,471.929083350929,459.939506015022
"166","01DTV0108M",411.536557867588,422.41848203871,453.61438947185
"167","01DTV0109L",365.584006784282,385.695339626736,440.832671949599
"168","01DTV0110A",451.468182045117,486.412158495906,512.352865224459
"169","01DTV0111Z",471.001267973077,469.710269407242,473.696059564147
"170","01DTV0112Z",466.638844129774,426.167068232467,425.898362818483
"171","01DTV0113Y",505.217870745971,476.348241003966,469.112664351504
"172","01DTV0114X",538.605232249393,486.083597578082,468.170868375009
"173","01DTV0115W",509.746159635753,490.693681919955,448.914578150189
"174","01DTV0117U",469.546071732542,500.209203641843,483.528071031116
"175","01DTV0118T",530.686943073321,567.23018104311,483.088791620164
"176","01DTV0119S",444.593890335981,403.830738625331,448.128242605704
"177","01DTV0120H",474.678348425663,387.54844257085,416.941517993657
"178","01DTV0121G",463.052289335059,468.487359110514,451.731119904695
"179","01DTV0123E",441.232133846235,463.864039781359,468.220226217093
"180","01DTV0124D",467.657891167535,410.266186426556,464.524066890143
"181","01DTV0126B",493.532823108491,457.523905981155,521.781381677698
"182","01DTV0127A",502.935892740885,489.242487589518,529.096930609809
"183","01DTV0129Z",441.907713996039,489.613665262858,409.108832804362
"184","01DTV0131N",423.819764083019,424.268960534959,481.989103096204
"185","01DTV0132M",471.164574933293,536.700573857201,504.331195259094
"186","01DTV0134K",465.922281561958,475.136580350106,497.439783994116
"187","01DTV0135J",416.344468519423,433.813229707102,509.060887541594
"188","01DTV0137H",538.161334593683,457.808519411844,502.58772086678
"189","01DTV0138G",451.24782872114,478.220287916525,504.76785432282
"190","01DTV0139F",472.799469801484,449.32645412223,473.19288581224
"191","01DTV0140V",452.491358862983,430.219668324788,397.862345095034
"192","01DTV0141U",486.790471573168,438.010646151319,443.564746802744
"193","01DTV0142T",535.480516838305,459.228381301418,424.838149253768
"194","01DTV0143S",452.777786219018,462.822929940816,447.60131967582
"195","01DTV0144R",394.320111762153,437.43453455453,405.888073481142
"196","01DTV0145Q",420.844143591987,439.513894027319,437.252910957135
"197","01DTV0146P",490.262954769713,476.802924032764,479.907391429865
"198","01DTV0147O",414.00910059611,417.416777151602,461.741149994821
"199","01DTV0148N",488.898212148104,492.160912154318,517.395082048523
"200","01DTV0149M",431.882664951079,454.651643625069,476.931718677975
"201","01DTV0150B",417.693555317228,407.958371011572,425.767083583734
"202","01DTV0151A",277.34383392334,285.432952880859,291.648063659668
"203","01DTV0152Z",488.785335359119,470.729980214437,507.754454210069
"204","01DTV0153Z",399.288709312978,394.087071206291,461.284021286737
"205","01DTV0154Y",452.290645377346,497.546117752317,501.325165077492
"206","01DTV0155X",513.669913209515,483.191260355002,496.118111617503
"207","01DTV0156W",497.14127414441,439.476375579834,449.618307043005
"208","01DTV0157V",373.578087821839,516.882383800688,445.351896255735
"209","01DTV0159T",533.981901873964,395.917360159067,421.710816139783
"210","01DTV0160I",458.669879295262,467.313526659586,485.101598782009
"211","01DTV0162G",459.196860111121,453.62360898808,505.125874259255
"212","01DTV0163F",409.462496722186,470.747286127308,456.099417345063
"213","01DTV0164E",396.887861746329,427.612738715278,448.870050068774
"214","01DTV0165D",470.664510569478,494.196769984082,479.00795990248
"215","01DTV0166C",474.863514733093,475.8969897621,477.384447271971
"216","01DTV0167B",466.113192471591,395.347582287259,455.411387549506
"217","01DTV0168A",434.62969193892,435.719173572682,392.161643860832
"218","01DTV0169Z",493.046767734346,483.86166551378,428.277782509544
"219","01DTV0171O",538.183953244758,568.060444456158,489.541717868381
"220","01DTV0172N",442.544938151042,441.358419944449,482.538000123114
"221","01DTV0173M",461.700956300644,482.272046296091,472.284511512217
"222","01DTV0174L",422.75055202908,461.593909780586,497.359683792679
"223","01DTV0176J",436.047522182524,449.314048551309,417.064131761634
"224","01DTV0177I",391.949603384512,398.273037680601,478.147920092287
"225","01DTV0178H",478.528766208225,460.184288024902,433.743361200838
"226","01DTV0179G",447.43789564874,453.504901136312,480.724983979816
"227","01DTV0180W",449.379580632584,454.363944591175,476.235498428345
"228","01DTV0181V",404.35067193538,426.011001014402,452.458776459549
"229","01DTV0183T",486.091195508402,513.225565360443,535.176425679525
"230","01DTV0184S",477.045706876945,464.849644752785,484.155704498291
"231","01DTV0185R",456.775147604564,427.191292698948,465.497288708809
"232","01KTV0004A",499.519324408637,484.341113620334,590.465855916341
"233","01KTV0006Z",169.085848490397,NA,NA
"234","01KTV0007Y",380.055130004883,320.003265380859,453.403340657552
"235","01KTV0008X",408.75777616955,427.868164789109,482.980422465007
"236","01KTV0009W",228.278023613824,240.153104146322,316.639607747396
"237","01KTV0011K",279.006813897027,538.482482910156,532.034324645996
"238","01KTV0016F",430.197572496202,421.360777113173,375.427947998047
"239","01KTV0017E",435.414714389377,443.044532775879,461.730126274957
"240","01KTV0018D",487.989237467448,460.508538140191,466.206346299913
"241","01KTV0019C",392.216153422361,407.744000752767,450.349768066406
"242","01KTV0020S",480.647552490234,471.204211764865,264.300737169054
"243","01KTV0021R",370.601053873698,NA,NA
"244","01KTV0022Q",299.205115000407,NA,NA
"245","01PES0002S",561.63697138849,592.832734871853,595.888395774392
"246","01PES0003R",605.088450938258,618.554568762731,629.767973658486
"247","01PES0004Q",593.545129025528,603.687050318423,631.47127314255
"248","01PES0006O",536.747845958373,525.320822046286,562.96720784128
"249","01PES0008M",601.863017361337,591.215596906137,615.442380517817
"250","01PES0009L",615.608627514482,610.346122317176,595.346363310908
"251","01PES0010A",581.602747188196,592.382453793787,610.567076435354
"252","01PES0011Z",481.688455652308,566.75071667134,499.668879332366
"253","01PES0012Z",625.827610193118,639.883625782154,661.612462347995
"254","01PES0020H",518.703357789575,533.74284562384,543.014905343316
"255","01PES0022F",562.558699251425,566.143221819842,601.877323614857
"256","01PES0023E",674.64420030382,614.160144042969,623.190212673611
"257","01PES0024D",573.853550674576,603.224338812751,618.588365790903
"258","01PES0027A",577.160041713661,540.027906263442,546.877771910198
"259","01PES0029Z",503.986008201124,534.822332114294,547.717699963455
"260","01PES0030O",531.528287263758,501.742862713047,509.590990772954
"261","01PES0031N",572.721094335684,598.83928655988,636.805451716258
"262","01PES0033L",554.320927948032,541.492055545452,563.713475730626
"263","01PES0034K",532.897226186899,561.667547014025,533.239997560649
"264","01PES0035J",480.093456995287,543.6804499938,530.130179958059
"265","01PES0036I",475.245706853192,467.661318992997,522.607757285789
"266","01PES0037H",621.943435995919,623.537743832367,661.542778140926
"267","01PES0039F",613.760175156513,556.176137918478,534.473477794506
"268","01PES0040V",546.390256604832,528.980560604828,539.388179344649
"269","01PES0041U",615.299866304382,635.375765117057,673.790225159205
"270","01PES0044R",418.407373139353,463.917808896019,324.87680867513
"271","01PES0045Q",541.517208119549,554.213528298529,604.374326961457
"272","01PES0046P",531.206937432143,525.568899358884,502.744023148999
"273","01PES0047O",340.997065226237,NA,310.20711517334
"274","01PES0048N",587.140903972108,590.099249117569,629.349116506462
"275","01PES0050B",613.96501509321,656.353244541856,640.928785470816
"276","01PES0051A",640.761589598006,637.215711266399,664.544904346501
"277","01PES0052Z",441.37189519973,454.319904509045,496.381673096349
"278","01PES0053Z",556.733880467626,586.472463989258,621.967307705349
"279","01PES0054Y",530.58571808052,528.082677108522,536.736526085841
"280","01PES0055X",574.017897033691,616.123143793462,643.549409720461
"281","01PES0056W",547.472723271355,532.116136014316,520.736565291101
"282","01PES0057V",562.262375179338,541.365962600708,539.80758120442
"283","01PES0058U",308.869680747008,357.373114234814,586.227837607974
"284","01PES0059T",587.169555791219,571.496512340884,591.96411960178
"285","01PES0060I",511.986935759179,475.625697374022,312.756365882026
"286","01PES0061H",589.393503054224,574.847158417878,374.124983560471
"287","01PES0062G",625.498416954174,610.261615659595,400.838116681134
"288","01PES0063F",578.97778227835,579.052247982933,407.408682818574
"289","01PES0064E",263.714123196072,407.379579671224,212.933522542318
"290","01PES0065D",553.391302630508,610.821783465897,409.90911048472
"291","01PES0066C",510.693111269698,319.481302558051,193.619406240958
"292","01PES0067B",596.033034104567,392.864462958442,NA
"293","01PES0068A",133.176637776693,NA,NA
"294","01PST0001L",533.894058106438,548.543577046308,535.314608447275
"295","01PST0004I",525.934815300835,492.342609706069,548.676926676432
"296","01PST0005H",468.544908216969,509.041782431169,498.251270713583
"297","01PST0006G",618.915408343042,626.143195682102,630.472536937623
"298","01PST0007F",500.765582577186,517.47691461775,525.561675907437
"299","02DES0001N",470.540386469147,499.139435355998,481.879162517637
"300","02DES0002M",487.500359431301,459.221855972534,521.121282577298
"301","02DES0003L",545.969297772239,562.900910619317,577.776007306015
"302","02DES0004K",489.333737022921,509.104910799625,517.909910700473
"303","02DES0005J",472.559807233557,478.690874942134,495.070767789491
"304","02DES0006I",476.087072172026,486.113500940236,493.559752170535
"305","02DES0007H",416.303591508494,408.362456344808,450.815472306598
"306","02DES0008G",443.099113154228,429.547404716885,477.730562178333
"307","02DES0009F",400.117064979425,429.750678475475,448.813370437838
"308","02DES0010V",481.179486951536,484.974043477156,504.490633876501
"309","02DES0011U",483.595325542244,476.028777456625,495.416413869248
"310","02DES0012T",520.234830162661,528.146371254549,525.742026044756
"311","02DES0013S",458.228775228044,457.281084405165,511.82688197907
"312","02DES0014R",444.237990338422,463.371153834992,462.555683446192
"313","02DES0015Q",459.521497609063,473.1843136705,483.394241990448
"314","02DES0016P",472.408358481607,451.769197369936,479.530082618039
"315","02DES0017O",475.485981849649,471.195572140243,484.162512294848
"316","02DES0018N",483.962175013905,469.154285670981,476.949156790645
"317","02DES0019M",478.48271412665,487.490329810905,498.288213741634
"318","02DES0020B",478.850674010539,484.212877503101,483.524815915155
"319","02DES0021A",441.08884438032,452.734193824112,463.680812406902
"320","02DES0022Z",495.870609086169,498.826747300284,502.330597469555
"321","02DES0023Z",495.974493517753,497.025202820655,510.494141328518
"322","02DES0025X",455.834622209792,457.683544291109,463.750223941093
"323","02DES0026W",418.98949373266,446.500802296439,467.421209310702
"324","02DES0027V",495.537963955398,511.143004852897,520.026246288346
"325","02DES0028U",475.654175488957,473.54583185453,481.931648994475
"326","02DES0029T",435.898060408226,441.101718979655,461.599072050247
"327","02DES0030I",457.502033071454,466.040680318542,466.60523840664
"328","02DES0031H",478.307742076734,479.172621142321,494.170356051912
"329","02DES0032G",481.680376570681,479.518814172482,470.45483616801
"330","02DES0033F",473.99612168635,480.237977658064,479.075516664421
"331","02DES0034E",466.260928670671,454.918651260141,451.329236998415
"332","02DES0035D",445.272570733286,447.720716043816,471.851014220123
"333","02DES0036C",448.913272361675,433.039910065127,463.123361082929
"334","02DES0037B",466.295670355317,473.761982020114,487.673484544126
"335","02DES0038A",481.327298760799,493.407985545791,502.321212650697
"336","02DES0039Z",494.161789002367,453.628197432153,474.376341212481
"337","02DES0040P",464.272300844674,479.046269977712,506.583444510383
"338","02DES0042N",453.268586719403,480.372464313687,484.250901704306
"339","02DES0043M",481.511527691816,467.382732339807,493.750245836046
"340","02DES0044L",427.162899065586,467.01876198374,490.668938381818
"341","02DES0045K",408.810902297988,417.257526208783,455.623227163016
"342","02DES0046J",505.426323398915,297.910490760508,483.405342839965
"343","02DES0047I",457.042684041004,468.681495563892,495.242122716305
"344","02DES0048H",492.352195042987,475.522964143145,321.517375953042
"345","02DES0049G",439.56061033086,450.117096821211,NA
"346","02DES0050W",470.599820200152,306.752281081291,NA
"347","02DES0051V",478.199991790043,467.979805576216,NA
"348","02DES0052U",389.159374924851,417.635628633131,NA
"349","02DES0053T",291.82232802781,138.170786213073,NA
"350","02DES0054S",391.187556284299,NA,NA
"351","02DSC0001P",285.76929258483,NA,NA
"352","02DSN0010C",124.096415201823,153.279974997581,488.885178004964
"353","02DST0001F",498.336420970635,487.75739648747,475.2505208508
"354","02DST0002E",494.95455173723,467.908360172758,514.304494991633
"355","02DST0003D",459.855248346038,453.179346622371,473.426875015059
"356","02DST0004C",435.943715936027,422.992846697654,462.730999480472
"357","02DST0005B",454.967208299536,425.45927875295,467.39621063222
"358","02DST0006A",433.442538611241,425.164064576815,438.057321453253
"359","02DST0007Z",407.856995638679,400.665250217136,446.345849232324
"360","02DST0008Z",440.935670880783,450.196202207669,470.768937805482
"361","02DST0009Y",463.823138821519,452.162659384988,454.602282006178
"362","02DST0010N",473.760731588841,498.418979998056,551.687677913844
"363","02DST0011M",452.899207886443,461.421877533905,474.98843334023
"364","02DST0012L",445.825600796647,429.82871294853,438.963681874496
"365","02DST0013K",451.614297319564,456.416610116785,462.128519508552
"366","02DST0014J",456.782485690805,466.44993755998,477.327283992465
"367","02DST0015I",469.942775054608,466.010704491239,495.01544157045
"368","02DST0016H",435.64310020057,434.524304000288,472.151728604467
"369","02DST0017G",460.508147753094,458.946995989156,468.694885441667
"370","02DST0018F",510.127741260863,498.50425544472,548.294036677607
"371","02DST0019E",473.64224478209,475.955061313061,493.221178225029
"372","02DST0020U",429.049707110226,440.997904901296,470.101866602679
"373","02DST0021T",491.641184070449,498.778412662171,543.244480129791
"374","02DST0022S",521.112340719506,508.201121131106,521.825380050177
"375","02DST0023R",445.517862660304,428.350647512775,478.393495564645
"376","02DST0024Q",462.681031507495,466.193668351908,479.650258064232
"377","02DST0025P",480.840437061881,496.446315867309,529.702926712609
"378","02DST0026O",443.339854084714,463.412447823015,481.39363851665
"379","02DST0027N",468.082592316335,490.868127970625,515.002468419228
"380","02DST0028M",452.971254209552,456.580673367996,466.271092700143
"381","02DST0029L",467.548318159929,462.65402047201,466.920967855296
"382","02DST0030A",493.185183305546,489.20994397446,509.58423120016
"383","02DST0031Z",433.219959104194,456.788129180307,457.38066255495
"384","02DST0032Z",469.754748617455,482.872149187602,520.954400712433
"385","02DST0033Y",513.357938480831,479.795349710615,569.462483516516
"386","02DST0034X",469.163274136499,473.42527706779,512.185069868218
"387","02DST0035W",429.827292336816,439.732264823531,467.635944267991
"388","02DST0036V",474.427566081095,465.503767212359,464.333172759489
"389","02DST0037U",483.235152527246,439.300928587783,477.40024386884
"390","02DST0038T",421.163578765379,429.742609263344,445.239591654358
"391","02DST0039S",450.369269335443,470.043009092828,439.567596783023
"392","02DST0040H",471.287325735252,474.736880748985,483.903911841555
"393","02DST0041G",462.324244652117,442.089664610851,450.536955874038
"394","02DST0042F",496.382635746866,483.14114778115,495.7208091086
"395","02DST0043E",486.119011941319,451.037736791334,480.283409294756
"396","02DST0044D",513.338892024523,522.809220046044,543.58123881047
"397","02DST0045C",457.842619462853,464.828834291144,491.546344107526
"398","02DST0046B",456.355601546303,487.858495346411,511.339789688364
"399","02DST0047A",454.087192277757,482.180834401491,512.422021119052
"400","02DST0048Z",460.624312737719,304.540840717784,NA
"401","02DST0049Z",455.193160758907,431.851300913103,NA
"402","02DST0050O",148.390798232135,NA,NA
"403","02DST0051N",461.511750739252,NA,NA
"404","02DTV0001T",377.476157972548,NA,NA
"405","02DTV0002S",426.518231122922,147.368743896484,NA
