"","cct","cal_new1","N1","cal_new2","N2","cal_new3","N3","PromedioSecundaria","NTotal"
"767","01DST0022T",530.194223112661,406,0,381,0,313,176.73140770422,1100
"768","01PES0003R",595.326103973389,40,0,29,0,30,198.442034657796,99
"769","01PES0004Q",616.81329536438,32,0,30,0,34,205.604431788127,96
"770","01PES0037H",593.349968719482,40,0,35,0,30,197.783322906494,105
"771","01DES0013T",495.020977900578,156,0,105,0,99,165.006992633526,360
"772","01DES0031I",478.579272448006,472,0,427,0,409,159.526424149335,1308
"773","01DES0034F",463.849635466365,262,0,212,0,166,154.616545155455,640
"774","01PES0045Q",547.531962076823,36,0,21,0,28,182.510654025608,85
"775","01PES0055X",545.532486979167,15,0,4,0,12,181.844162326389,31
"776","01PES0062G",614.373713443154,19,0,16,0,5,204.791237814385,40
"777","01PES0063F",550.055541992188,27,0,11,0,22,183.351847330729,60
"778","01PES0064E",436.680996365017,9,0,2,0,0,145.560332121672,11
"779","01DES0015R",456.695532171576,222,0,254,0,214,152.231844057192,690
"780","01DES0030J",488.126351492746,112,0,118,0,117,162.708783830915,347
"781","01DST0021U",450.021434783936,152,0,142,0,128,150.007144927979,422
"782","01DST0024R",494.162922660297,374,0,343,0,325,164.720974220099,1042
"783","01DST0030B",482.694298940162,146,0,123,0,124,160.898099646721,393
"784","01PES0011Z",593.380615234375,9,0,12,0,18,197.793538411458,39
"785","01PES0027A",547.858696570763,39,0,37,0,35,182.619565523588,111
"786","01PES0039F",629.782962375217,9,0,15,0,11,209.927654125072,35
"787","01PES0061H",605.023037997159,11,0,6,0,11,201.674345999053,28
"788","01DTV0030P",539.938279776738,29,0,36,0,16,179.979426592246,81
"789","01DTV0049N",437.374252731736,37,0,48,0,38,145.791417577245,123
"790","01DTV0050C",469.963033040365,12,0,8,0,10,156.654344346788,30
"791","01DTV0057W",475.900999886649,28,0,33,0,31,158.633666628883,92
"792","01DTV0060J",446.98546969506,31,0,21,0,18,148.99515656502,70
"793","01DTV0106O",578.548225402832,16,0,20,0,12,192.849408467611,48
"794","01DTV0107N",447.79036990079,44,0,22,0,30,149.263456633597,96
"795","01DTV0108M",457.374514066256,13,0,20,0,23,152.458171355419,56
"796","01DTV0180W",431.170481363932,15,0,14,0,13,143.723493787977,42
"797","01DTV0029Z",524.996136005108,13,0,14,0,12,174.998712001703,39
"798","01DTV0095Z",527.565681008732,17,0,13,0,11,175.855227002911,41
"799","01DTV0096Y",585.353771972656,20,0,14,0,23,195.117923990885,57
"800","01DTV0097X",497.433227539062,4,0,8,0,8,165.811075846354,20
"801","01DTV0098W",493.329940333511,33,0,26,0,20,164.443313444504,79
"802","01DTV0099V",415.482086181641,11,0,7,0,6,138.494028727214,24
"804","01DTV0101T",611.774803748498,13,0,8,0,6,203.924934582833,27
"805","01DTV0111Z",452.623934427897,12,0,14,0,9,150.874644809299,35
"806","01DTV0010B",469.978303745815,35,0,35,0,32,156.659434581938,102
"807","01DTV0048O",440.000552473397,29,0,31,0,18,146.666850824466,78
"808","01DTV0053Z",474.552899812397,19,0,17,0,20,158.184299937466,56
"809","01DTV0054Z",450.400708879743,7,0,21,0,14,150.133569626581,42
"810","01DTV0069A",496.75217598363,76,0,56,0,53,165.58405866121,185
"811","01DTV0071P",506.899747408353,13,0,16,0,16,168.966582469451,45
"812","01DTV0110A",481.422279759457,19,0,14,0,16,160.474093253152,49
"813","01DTV0117U",532.220218434053,17,0,15,0,13,177.406739478018,45
"814","01DTV0118T",635.092709189967,19,0,16,0,14,211.697569729989,49
"815","01DTV0147O",469.466869354248,8,0,8,0,8,156.488956451416,24
"816","01DTV0167B",491.391359965007,12,0,7,0,11,163.797119988336,30
"817","01DTV0011A",403.429847717285,16,0,16,0,16,134.476615905762,48
"818","01DTV0012Z",451.423705002357,29,0,30,0,27,150.474568334119,86
"819","01DTV0035K",655.638026646205,21,0,28,0,20,218.546008882068,69
"820","01DTV0047P",468.520020802816,24,0,18,0,19,156.173340267605,61
"821","01DTV0072O",543.562079689719,22,0,16,0,10,181.187359896573,48
"822","01DTV0102S",492.109799592391,23,0,20,0,21,164.03659986413,64
"823","01DTV0112Z",577.740221659342,12,0,15,0,12,192.580073886447,39
"824","01DTV0113Y",485.457619222005,15,0,18,0,13,161.819206407335,46
"825","01DTV0114X",454.410965692429,21,0,18,0,19,151.470321897476,58
"826","01DTV0115W",595.035760176809,19,0,9,0,13,198.34525339227,41
"827","01DTV0119S",446.433798217773,20,0,17,0,20,148.811266072591,57
"828","01DTV0120H",489.072930908203,5,0,11,0,11,163.024310302734,27
"829","01DTV0159T",574.247842407227,10,0,10,0,11,191.415947469076,31
"830","01DST0008Z",485.275573730469,143,0,168,0,153,161.758524576823,464
"831","01DST0015J",483.447086745042,65,0,81,0,86,161.149028915014,232
"832","01DST0016I",448.980301166403,116,0,78,0,106,149.660100388801,300
"833","01DTV0015X",516.400872124566,9,0,12,0,9,172.133624041522,30
"834","01DTV0016W",507.682586669922,9,0,13,0,13,169.227528889974,35
"835","01DTV0087Q",421.180617523193,40,0,26,0,20,140.393539174398,86
"836","01DTV0088P",446.894640604655,12,0,15,0,18,148.964880201552,45
"837","01DTV0089O",453.157636854384,18,0,6,0,6,151.052545618128,30
"838","01DTV0090D",399.37405090332,10,0,7,0,15,133.12468363444,32
"839","01DTV0091C",498.45662689209,24,0,14,0,22,166.15220896403,60
"840","01DTV0109L",396.824912331321,11,0,7,0,8,132.274970777107,26
"841","01DTV0121G",496.51456366645,9,0,10,0,7,165.504854555483,26
"842","01DTV0123E",428.886762619019,16,0,19,0,14,142.96225420634,49
"843","01DTV0124D",438.265272352431,9,0,9,0,9,146.088424117477,27
"844","01DTV0157V",384.941946847098,7,0,6,0,6,128.313982282366,19
"845","01DTV0014Y",428.006262207031,5,0,11,0,8,142.66875406901,24
"846","01DTV0061I",458.03635152181,36,0,41,0,41,152.678783840603,118
"847","01DTV0073N",457.863855997721,36,0,25,0,28,152.621285332574,89
"848","01DTV0092B",394.934636433919,6,0,7,0,8,131.644878811306,21
"849","01DTV0126B",513.698928169582,23,0,14,0,14,171.232976056527,51
"850","01DTV0127A",513.981409708659,6,0,1,0,3,171.327136569553,10
"851","01DTV0129Z",487.81244913737,6,0,4,0,5,162.604149712457,15
"852","01DTV0131N",421.83283106486,24,0,19,0,22,140.610943688287,65
"853","01DES0004L",505.04176060859,413,0,380,0,351,168.347253536197,1144
"854","01DES0012U",540.481385091146,150,0,112,0,128,180.160461697049,390
"855","01DES0037C",497.297077075855,37,0,30,0,35,165.765692358618,102
"856","01DST0007A",477.909672157437,51,0,47,0,25,159.303224052479,123
"857","01DST0033Z",452.938127305773,36,0,37,0,39,150.979375768591,112
"858","01PST0001L",546.262415422712,35,0,30,0,40,182.087471807571,105
"859","01DST0009Z",515.099153019832,130,0,119,0,115,171.699717673277,364
"860","01DTV0039G",486.415166945685,21,0,12,0,14,162.138388981895,47
"861","01DTV0074M",466.727615848664,31,0,16,0,14,155.575871949555,61
"862","01DTV0075L",496.430501708984,25,0,20,0,22,165.476833902995,67
"863","01DTV0132M",438.124926017992,33,0,25,0,20,146.041642005997,78
"864","01DTV0134K",486.364539591471,30,0,30,0,21,162.121513197157,81
"865","01DTV0160I",411.501443963302,19,0,17,0,13,137.167147987767,49
"866","01DST0004D",503.782012939453,198,0,172,0,164,167.927337646484,534
"867","01DTV0005Q",461.190887451172,16,0,14,0,23,153.730295817057,53
"868","01DTV0009M",424.852268981934,20,0,23,0,20,141.617422993978,63
"869","01DTV0051B",483.858464355469,25,0,26,0,25,161.286154785156,76
"870","01DTV0052A",522.439764404297,10,0,6,0,7,174.146588134766,23
"871","01DTV0070Q",454.993335592336,29,0,29,0,31,151.664445197445,89
"872","01DTV0076K",573.861101074219,25,0,28,0,31,191.287033691406,84
"873","01DTV0077J",527.803022384644,16,0,17,0,12,175.934340794881,45
"874","01DTV0078I",462.301486206055,20,0,12,0,11,154.100495402018,43
"875","01DTV0135J",442.073062896729,24,0,13,0,15,147.357687632243,52
"876","01DTV0137H",557.811484781901,15,0,13,0,15,185.937161593967,43
"877","01DTV0162G",465.672374378551,11,0,16,0,12,155.22412479285,39
"878","01DTV0165D",470.592281999259,29,0,22,0,22,156.864093999753,73
"879","01DTV0020I",489.199722601443,49,0,53,0,46,163.066574200481,148
"880","01DTV0046Q",437.023232596261,7,0,11,0,10,145.67441086542,28
"881","01DTV0066D",510.175387455867,52,0,62,0,38,170.058462485289,152
"882","01DTV0080X",449.707493591309,40,0,28,0,26,149.90249786377,94
"883","01DTV0138G",467.116832817925,45,0,38,0,31,155.705610939308,114
"884","01DTV0140V",486.878967285156,4,0,6,0,8,162.292989095052,18
"885","01DTV0173M",459.085494097541,34,0,19,0,24,153.028498032514,77
"886","01DST0010O",451.779912447859,339,0,303,0,263,150.593304149286,905
"887","01DST0028N",475.039111269249,311,0,251,0,241,158.346370423083,803
"888","01DST0032Z",490.189239501953,77,0,66,0,57,163.396413167318,200
"889","01PES0029Z",510.027220191025,41,0,40,0,27,170.009073397008,108
"890","01PES0036I",450.280605540556,17,0,10,0,23,150.093535180185,50
"891","01DTV0018U",483.366827964783,64,0,49,0,54,161.122275988261,167
"892","01DTV0036J",548.648474121094,15,0,14,0,12,182.882824707031,41
"893","01DTV0079H",415.680239590732,11,0,13,0,11,138.560079863577,35
"894","01DTV0139F",557.080195835659,7,0,7,0,18,185.693398611886,32
"895","01DTV0172N",463.413693237305,10,0,9,0,12,154.471231079102,31
"896","01DTV0174L",420.83102722168,10,0,10,0,6,140.277009073893,26
"897","01DES0018O",498.727406391345,285,0,244,0,219,166.242468797115,748
"898","01DES0036D",589.403927593111,159,0,145,0,104,196.46797586437,408
"899","01DST0039T",445.192745535714,210,0,165,0,161,148.397581845238,536
"900","01PES0022F",605.599975585938,11,0,8,0,6,201.866658528646,25
"901","01PES0058U",492.107011795044,16,0,13,0,0,164.035670598348,29
"902","01PES0068A",426.926995849609,5,0,0,0,0,142.308998616536,5
"903","01DTV0021H",470.369990095308,79,0,67,0,63,156.789996698436,209
"904","01DTV0022G",491.280774987262,23,0,21,0,14,163.760258329087,58
"905","01DTV0081W",403.543384258564,26,0,15,0,13,134.514461419521,54
"906","01DTV0082V",445.906568254743,7,0,10,0,5,148.635522751581,22
"907","01DTV0093A",465.940826416016,8,0,10,0,6,155.313608805339,24
"908","01DTV0141U",455.370362854004,40,0,30,0,29,151.790120951335,99
"909","01DTV0164E",403.806711832682,9,0,14,0,14,134.602237277561,37
"910","01DTV0181V",430.403336745042,52,0,43,0,43,143.467778915014,138
"911","01DST0003E",505.021091950245,312,0,299,0,288,168.340363983415,899
"912","01DST0023S",471.446176780845,265,0,210,0,216,157.148725593615,691
"913","01PES0066C",501.530548095703,12,0,13,0,10,167.176849365234,35
"914","01DTV0023F",408.374819668857,11,0,17,0,14,136.124939889619,42
"915","01DTV0038H",430.79676178963,93,0,83,0,67,143.598920596543,243
"916","01DTV0056X",421.994762420654,16,0,13,0,14,140.664920806885,43
"917","01DTV0068B",507.942061480354,17,0,28,0,24,169.314020493451,69
"918","01DTV0083U",483.815135282629,34,0,27,0,26,161.271711760876,87
"919","01DTV0142T",573.463195800781,7,0,11,0,11,191.15439860026,29
"920","01DTV0143S",419.534919151893,13,0,15,0,16,139.844973050631,44
"921","01DTV0144R",440.081059773763,12,0,10,0,10,146.693686591254,32
"922","01DTV0166C",486.965263815487,17,0,15,0,19,162.321754605162,51
"923","01DTV0176J",459.388936360677,12,0,17,0,23,153.129645453559,52
"924","01DES0003M",480.131904996675,464,0,440,0,418,160.043968332225,1322
"925","01DES0020C",516.026250665838,77,0,70,0,63,172.008750221946,210
"926","01DST0019F",506.83118219245,146,0,133,0,118,168.943727397483,397
"927","01PES0060I",588.267883300781,16,0,20,0,27,196.089294433594,63
"928","01DST0011N",466.772570927938,240,0,252,0,245,155.590856975979,737
"929","01DTV0002T",504.662488708496,100,0,88,0,72,168.220829569499,260
"930","01DTV0004R",488.734063829694,56,0,41,0,61,162.911354609898,158
"931","01DTV0041V",454.764907344695,31,0,29,0,27,151.588302448232,87
"932","01DTV0084T",447.721058436802,14,0,8,0,18,149.240352812268,40
"933","01DTV0085S",484.802108764648,18,0,15,0,17,161.600702921549,50
"934","01DTV0145Q",429.17934773763,15,0,8,0,10,143.05978257921,33
"935","01DTV0146P",509.504538102583,44,0,32,0,44,169.834846034194,120
"936","01DTV0148N",487.89194615682,24,0,19,0,17,162.63064871894,60
"937","01DTV0168A",448.671459960938,5,0,5,0,11,149.557153320312,21
"938","01DTV0177I",461.391610717773,10,0,6,0,9,153.797203572591,25
"939","01DTV0179G",452.180093802658,102,0,85,0,52,150.726697934219,239
"940","01DST0006B",464.141073010631,97,0,101,0,90,154.713691003544,288
"941","01DTV0040W",501.444974459135,26,0,19,0,15,167.148324819712,60
"942","01DTV0149M",457.112962292087,31,0,27,0,23,152.370987430696,81
"943","01DTV0150B",503.565111796061,12,0,14,0,14,167.855037265354,40
"944","01DTV0151A",471.342625935872,6,0,4,0,0,157.114208645291,10
"945","01DTV0152Z",503.962180001395,7,0,9,0,8,167.987393333798,24
"946","01DES0014S",452.367746787496,101,0,105,0,88,150.789248929165,294
"947","01DST0014K",455.545616260473,69,0,85,0,59,151.848538753491,213
"948","01DST0018G",488.166829578912,67,0,71,0,61,162.722276526304,199
"949","01DTV0025D",464.484351264106,9,0,8,0,9,154.828117088035,26
"950","01DTV0026C",459.718566894531,19,0,18,0,12,153.239522298177,49
"951","01DTV0042U",463.18027310758,37,0,29,0,18,154.393424369193,84
"952","01DTV0065E",468.991152676669,22,0,39,0,25,156.330384225556,86
"953","01DTV0086R",501.917885916574,14,0,11,0,15,167.305961972191,40
"954","01DTV0153Z",414.380640203303,11,0,12,0,12,138.126880067768,35
"955","01DTV0154Y",378.350379943848,8,0,14,0,9,126.116793314616,31
"956","01DTV0155X",530.488633897569,27,0,33,0,27,176.829544632523,87
"957","01DTV0156W",648.171300252279,12,0,7,0,9,216.057100084093,28
"958","01DTV0163F",411.549416436089,18,0,21,0,14,137.18313881203,53
"959","01DTV0169Z",441.971015930176,8,0,7,0,4,147.323671976725,19
"960","01DTV0178H",485.825113932292,15,0,8,0,8,161.941704644097,31
"961","01DTV0183T",491.781754437615,17,0,10,0,13,163.927251479205,40
"1011","01KTV0017E",462.577926635742,2,0,3,0,4,154.192642211914,9
"1012","01KTV0020S",431.316609700521,3,0,2,0,3,143.772203233507,8
"1013","01KTV0008X",432.181958879743,7,0,7,0,1,144.060652959914,15
"1014","01KTV0016F",598.034057617188,2,0,3,0,2,199.344685872396,7
"1015","01KTV0006Z",570.994918823242,4,0,0,0,0,190.331639607747,4
"1016","01KTV0004A",556.667144775391,2,0,2,0,3,185.55571492513,7
"1017","01KTV0022Q",524.14518737793,8,0,0,0,1,174.71506245931,9
"1018","01KTV0007Y",461.675674438477,2,0,4,0,1,153.891891479492,7
"1019","01KTV0009W",427.540720621745,3,0,6,0,0,142.513573540582,9
"1020","01KTV0019C",432.513087681362,14,0,9,0,5,144.171029227121,28
"1033","01PST0006G",589.313760121663,24,0,20,0,19,196.437920040554,63
"1034","01PES0024D",561.20199795427,58,0,79,0,70,187.067332651423,207
"1035","01DTV0013Z",609.17688784392,23,0,24,0,23,203.05896261464,70
"1036","01DST0012M",496.496963321461,170,0,157,0,146,165.49898777382,473
"1037","01DST0017H",478.742144610431,37,0,35,0,29,159.580714870144,101
"1038","01DTV0043T",496.470585414342,56,0,57,0,69,165.490195138114,182
"1039","01DTV0171O",607.822662353516,10,0,16,0,11,202.607554117839,37
"1040","01DES0005K",493.376942178477,92,0,96,0,98,164.458980726159,286
"1041","01KTV0011K",379.672342936198,3,0,1,0,0,126.557447645399,4
"1042","01KTV0021R",433.706146240234,2,0,1,0,1,144.568715413411,4
"1043","01KTV0018D",434.237075805664,2,0,1,0,2,144.745691935221,5
"2679","02DES0001N",518.463728503033,349,0,373,0,349,172.821242834344,1071
"2680","02DES0005J",472.533457058579,134,0,122,0,148,157.51115235286,404
"2681","02DES0006I",472.895427426812,358,0,364,0,347,157.631809142271,1069
"2682","02DES0025X",454.245160507574,205,0,187,0,151,151.415053502525,543
"2683","02DES0031H",475.668864674812,137,0,129,0,119,158.556288224937,385
"2684","02DES0044L",453.904727559694,142,0,91,0,79,151.301575853231,312
"2685","02DES0045K",424.582322862413,36,0,33,0,47,141.527440954138,116
"2686","02DES0049G",452.099951071817,61,0,43,0,33,150.699983690606,137
"2687","02DST0007Z",438.580977630615,40,0,34,0,34,146.193659210205,108
"2688","02DST0008Z",458.747324842088,94,0,99,0,89,152.915774947363,282
"2689","02DST0010N",507.353411986096,202,0,188,0,172,169.117803995365,562
"2690","02DST0011M",469.189293394697,47,0,52,0,34,156.396431131566,133
"2691","02DST0014J",465.825812445747,45,0,44,0,39,155.275270815249,128
