"","cct","cal_esp1","N1","cal_esp2","N2","cal_esp3","N3","PromedioSecundaria","NTotal"
"1","01DES0001O",514.467182906633,388,493.191388959587,353,500.147474617794,348,502.602015494671,1089
"2","01DES0002N",518.034817453158,118,504.678546905518,104,509.727588500977,100,510.813650953217,322
"3","01DES0003M",491.512861486984,438,491.051708660917,434,499.580761140522,475,494.048443762808,1347
"4","01DES0004L",496.35664226532,400,512.054624117338,364,523.958584296994,369,510.789950226551,1133
"5","01DES0005K",465.43286706767,109,492.490840055505,98,509.208485441388,106,489.044064188187,313
"6","01DES0006J",473.824455606594,243,457.810192517998,242,467.322371141497,271,466.31900642203,756
"7","01DES0007I",500.179001034007,170,490.562160861108,186,493.682893137452,189,494.808018344189,545
"8","01DES0008H",507.777605502243,441,519.57634632404,416,516.054038386774,422,514.469330071019,1279
"9","01DES0009G",608.203406404858,484,610.912115877691,474,624.852703311579,492,614.656075198042,1450
"10","01DES0010W",490.542879581451,320,477.435634133345,334,475.595241619391,367,481.191251778062,1021
"11","01DES0011V",489.67552947998,340,504.315486007862,356,513.278419343338,353,502.423144943727,1049
"12","01DES0012U",488.720286458333,150,497.551056623459,128,473.816876915412,123,486.696073332401,401
"13","01DES0013T",480.599742542614,99,488.670488733006,127,498.155751854482,99,489.141994376701,325
"14","01DES0014S",467.042325365674,91,456.579404133122,82,473.106539603991,78,465.576089700929,251
"15","01DES0015R",484.440863336301,255,497.530809216926,257,497.930383300781,255,493.30068528467,767
"16","01DES0016Q",473.619652500437,335,489.270937446926,345,481.51061838634,335,481.467069444568,1015
"17","01DES0017P",497.582754082636,218,493.630310129565,215,466.822268178772,239,486.011777463658,672
"18","01DES0018O",523.539593145314,237,526.997849411852,254,547.643305367286,218,532.726915974817,709
"19","01DES0019N",546.09101545243,336,538.885721873652,326,578.236767957439,177,554.404501761174,839
"20","01DES0020C",514.688297816685,70,519.225897971164,89,532.662583442583,73,522.192259743478,232
"21","01DES0021B",505.966127530212,411,505.742478859032,455,529.617358282456,421,513.775321557233,1287
"22","01DES0022A",513.250991758496,243,492.907103299113,243,512.055474087273,231,506.071189714961,717
"23","01DES0023Z",469.639409731512,219,473.260583765367,204,497.620615298931,208,480.17353626527,631
"24","01DES0024Z",520.432173198299,257,530.518156505766,231,530.510780906677,160,527.153703536914,648
"25","01DES0025Y",508.76213522152,245,507.061396987983,223,525.493447799409,279,513.772326669638,747
"26","01DES0026X",512.582220118979,368,509.672550085819,363,511.189760248712,376,511.148176817837,1107
"27","01DES0027W",477.262869934082,250,469.031749551227,241,481.414597599382,249,475.903072361564,740
"28","01DES0028V",506.212217469146,69,484.099991909293,86,493.778961974305,77,494.697057117582,232
"29","01DES0029U",531.588247604131,319,530.337135483414,317,547.729605752914,305,536.551662946819,941
"30","01DES0030J",521.90909991348,114,525.3320480179,91,500.540612551245,101,515.927253494208,306
"31","01DES0031I",520.680125056086,444,505.024279383986,426,492.850328534915,405,506.184910991663,1275
"32","01DES0032H",471.431185086568,288,481.684921202368,245,499.616789405026,201,484.244298564654,734
"33","01DES0033G",553.454768254207,39,553.442420510685,34,494.856057974008,26,533.917748912967,99
"34","01DES0034F",471.846127898999,179,469.943162441254,128,0,0,313.929763446751,307
"35","01DES0035E",497.805909249757,277,492.502151192971,206,0,0,330.102686814242,483
"36","01DES0036D",600.221149765442,107,0,0,0,0,200.073716588481,107
"37","01DES0037C",433.175536617156,31,478.069420599168,31,0,0,303.748319072108,62
"38","01DES0038B",518.99265650699,19,0,0,0,0,172.997552168997,19
"633","01DST0001G",630.356205563585,476,609.35895803152,484,640.815914332613,470,626.843692642573,1430
"634","01DST0002F",492.785658518473,156,492.843689371745,150,517.578530205621,144,501.069292698613,450
"635","01DST0003E",479.468495538705,309,504.40916498266,303,509.875528681745,281,497.91772973437,893
"636","01DST0004D",455.303338491788,186,480.517988506116,190,477.63882495777,185,471.153383985225,561
"637","01DST0005C",570.484133948965,484,566.047081965865,463,579.16900715075,456,571.900074355193,1403
"638","01DST0006B",490.757240073195,103,486.3756490247,116,512.730976728959,110,496.621288608952,329
"639","01DST0007A",479.648540373771,31,484.158447810582,56,472.00670560201,48,478.604564595454,135
"640","01DST0008Z",504.284669739107,181,519.567923617201,147,516.60998819987,150,513.487527185392,478
"641","01DST0009Z",522.569861147584,119,524.259947136267,134,523.391665821344,142,523.407158035065,395
"642","01DST0010O",491.341318483706,270,506.095858854406,272,487.960052377623,271,495.132409905245,813
"643","01DST0011N",492.852372784987,282,476.158038606369,243,491.380572143031,233,486.796994511462,758
"644","01DST0012M",496.981902553611,146,495.026920878804,143,506.892377867316,137,499.633733766577,426
"645","01DST0013L",446.976250936819,43,498.925996522646,37,508.708520071847,28,484.870255843771,108
"646","01DST0014K",487.18204305013,75,497.7010185605,84,494.91130457169,78,493.26478872744,237
"647","01DST0015J",481.151540438334,96,473.042060067721,107,522.520582719283,88,492.238061075112,291
"648","01DST0016I",454.129051273705,117,474.79318670793,88,432.811767578125,88,453.911335186587,293
"649","01DST0017H",463.035653008355,36,471.531724853516,25,514.907229423523,32,483.158202428465,93
"650","01DST0018G",453.67129611969,64,487.214356122698,70,503.094735494474,82,481.326795912287,216
"651","01DST0019F",437.505945987839,139,447.250217239945,135,461.001811406384,146,448.585991544722,420
"652","01DST0020V",494.050477297049,287,502.697460189176,261,499.174323710457,305,498.640753732227,853
"653","01DST0021U",466.20216960907,160,460.755165750666,129,487.131098820613,130,471.36281139345,419
"654","01DST0022T",526.862791134116,341,515.408574296392,283,519.967203699557,266,520.746189710021,890
"655","01DST0023S",471.146216184514,243,466.822792785645,250,457.877609938018,245,465.282206302726,738
"656","01DST0024R",554.602661832002,371,534.595617725003,372,555.308885412132,341,548.169054989713,1084
"657","01DST0028N",456.420542612383,310,468.342037002933,289,479.804159469876,281,468.188913028398,880
"658","01DST0029M",589.098766871861,392,577.313162871191,353,586.218975979858,326,584.210301907636,1071
"659","01DST0030B",489.403667861609,139,494.5580174764,120,460.558367545145,114,481.506684294385,373
"660","01DST0031A",477.305407533551,202,475.988134313513,189,474.393138938726,215,475.89556026193,606
"661","01DST0032Z",508.484455690546,59,473.870332688552,65,506.893204498291,80,496.415997625796,204
"662","01DST0033Z",496.690917275169,44,442.78098352944,41,351.882319859096,28,430.451406887901,113
"663","01DST0034Y",512.371042773328,223,507.469632583682,239,533.568335251581,210,517.803003536197,672
