"","cct","promedioEsp","promedioMat","promedioGeneral"
"133","01PBH0090Z2",409.71,352.57,381.14
"134","01PBH0091Z1",485.86,409.64,447.75
"135","01PBH0092Y2",415.5,302.65,359.075
"136","01PBH0093X1",508.21,402.47,455.34
"137","01PBH0100Q3",513.17,356.65,434.91
"138","01PBH3256L1",535.27,481.23,508.25
"139","01PBH3291R1",644.53,648.64,646.585
"140","01PBH3459G1",561.29,516.18,538.735
"141","01PCT0002J1",517.17,360.16,438.665
"142","01PCT0004H1",515.59,390.41,453
"143","01PCT0005G1",496.91,413.11,455.01
"144","01PCT0006F1",549.5,443.9,496.7
"145","01PCT0008D1",514.08,333.48,423.78
"146","01PCT0009C1",479.45,441.4,460.425
"147","01PHB0059Q1",500,366.75,433.375
"148","01SBC2031Z1",536.77,426.97,481.87
"149","01SBC2031Z2",453.2,355.26,404.23
"150","01SBC2072Z1",513.66,401.06,457.36
"151","01UBH0013G1",647.79,654.15,650.97
"152","01UBH0013G2",568.89,541.14,555.015
"153","02DBH0001K1",623.7,568.12,595.91
"154","02DCM0001V1",500.01,372.96,436.485
"155","02DCM0001V11",472.61,298.65,385.63
"156","02DCM0001V2",476.09,321.07,398.58
"157","02DCT0018E1",540.55,537.2,538.875
"158","02DCT0018E2",423.06,331.32,377.19
"159","02DCT0058F1",593.86,583.39,588.625
"160","02DCT0058F2",549.21,450.7,499.955
"161","02DCT0075W1",489.19,388.94,439.065
"162","02DCT0075W2",423.32,285.19,354.255
"163","02DCT0082F1",638.71,599.83,619.27
"164","02DCT0082F2",576.44,541.24,558.84
"165","02DCT0201C1",576.24,491.05,533.645
"166","02DCT0201C2",523.53,445.62,484.575
"167","02DCT0237R1",490.85,411.65,451.25
"168","02DCT0237R2",497.51,413.77,455.64
"169","02DCT0406W1",591.36,504.67,548.015
"170","02DCT0406W2",549.88,448.95,499.415
"171","02DCT0407V1",538.1,400.14,469.12
"172","02DCT0407V2",481.62,342.36,411.99
"173","02DCT0408U1",561.07,459.71,510.39
"174","02DCT0408U2",441.57,360.5,401.035
"175","02DCT0409T1",579.08,481.77,530.425
"176","02DCT0409T2",545.27,443.77,494.52
"177","02DCT0410I1",585.61,526.25,555.93
"178","02DCT0410I2",559.06,463.42,511.24
"179","02DCT0411H1",484.77,390.24,437.505
"180","02DCT0411H2",417.58,331.4,374.49
"181","02DET0156E1",566.54,520.34,543.44
"182","02DPT0004F1",524.49,394.52,459.505
"183","02DPT0004F2",485.8,398.83,442.315
"184","02DPT0006D1",519.49,403.8,461.645
"185","02DPT0006D2",453.46,326.81,390.135
"186","02DPT0008B1",611.67,446.23,528.95
"187","02DPT0008B2",583.29,454.23,518.76
"188","02DPT0010Q1",568.85,471.86,520.355
"189","02DPT0010Q2",475.36,395.03,435.195
"190","02DPT0012O1",466.81,332.47,399.64
"191","02DPT0012O2",452.83,319.48,386.155
"192","02DPT0014M1",529.86,373.15,451.505
"193","02DPT0014M2",534.84,415.78,475.31
"194","02DTA0041H1",376.8,316.25,346.525
"195","02DTA0146B1",516.5,455.28,485.89
"196","02DTA0198H1",497.46,334.23,415.845
"197","02ECB0001O1",578.36,524.78,551.57
"198","02ECB0001O2",518.32,469.93,494.125
"199","02ECB0003M1",560.74,492.87,526.805
"200","02ECB0003M2",453.47,369.49,411.48
"201","02ECB0006J1",510.08,394.22,452.15
"202","02ECB0006J2",424.41,327.41,375.91
"203","02ECB0007I1",524.65,509.54,517.095
"204","02ECB0007I2",514.68,380.11,447.395
"205","02ECB0010W1",484.95,455.81,470.38
"206","02ECB0011V1",507.45,456.43,481.94
"207","02ECB0011V2",411.76,349.36,380.56
"208","02ECB0012U1",468.67,446.14,457.405
"209","02ECB0012U2",412.64,391.86,402.25
"210","02ECB0013T1",610.65,545.35,578
"211","02ECB0013T2",529.32,396.02,462.67
"212","02ECB0016Q1",512.1,398.86,455.48
"213","02ECB0016Q2",491.5,398.42,444.96
"214","02ECB0019N1",524.09,451.42,487.755
"215","02ECB0019N2",423.24,328.84,376.04
"216","02ECB0022A1",607.75,513.43,560.59
"217","02ECB0022A2",529.46,393.51,461.485
"218","02ECB0026X2",543.12,412.13,477.625
"219","02ECB0027W1",527.18,471.41,499.295
"220","02ECB0027W2",512.34,466.89,489.615
"221","02ECB0031I1",599.07,496.26,547.665
"222","02ECB0031I2",536.34,414.66,475.5
"223","02ECB0032H1",587.69,436.33,512.01
"224","02ECB0032H2",483.93,354.41,419.17
"225","02ECB0033G1",602.63,487.17,544.9
"226","02ECB0033G2",551.54,394.44,472.99
"227","02ECB0034F1",606.57,505.8,556.185
"228","02ECB0034F2",580.94,418.51,499.725
"229","02ECB0035E1",470.96,344.59,407.775
"230","02ECB0035E2",370.8,296.12,333.46
"231","02ECB0036D2",538.11,426.54,482.325
"232","02ECB0038B1",533.47,367.41,450.44
"233","02ECB0039A1",483.78,321.33,402.555
"234","02ECB0040Q2",568.9,390.23,479.565
"235","02ECB0041P1",546.77,408.47,477.62
"236","02ECB0042O1",512.77,430.02,471.395
"237","02EMS0001V2",425.12,300.12,362.62
"238","02EMS0002U2",484.58,333.44,409.01
"239","02EMS0003T2",573.43,444.62,509.025
"240","02EMS0006Q1",571.11,490.07,530.59
"241","02EMS0007P2",487.05,349.64,418.345
"242","02EMS0008O2",535.82,388.21,462.015
"243","02EMS0011B2",529,324.53,426.765
"244","02EMS0012A1",526.08,305.92,416
"245","02EMS0012A2",515.3,276.85,396.075
"246","02EMS0013Z1",524.06,340.63,432.345
"247","02EMS0014Z1",509.44,381.44,445.44
"248","02ETC0001D1",534.37,416.44,475.405
"249","02ETC0001D11",502.48,414.23,458.355
"250","02ETC0001D2",518.33,372.14,445.235
"251","02ETC0002C1",569.12,521.74,545.43
"252","02ETC0002C11",537.74,406.59,472.165
"253","02ETC0002C2",513.94,441.9,477.92
"254","02ETC0003B1",510.16,433.01,471.585
"255","02ETC0003B2",532.27,442.86,487.565
"256","02ETC0004A1",485.82,362.02,423.92
"257","02ETC0004A2",490.28,390.28,440.28
"258","02ETC0004A12",466.76,382.55,424.655
"259","02ETC0004A22",455.03,357.03,406.03
"260","02ETC0005Z1",566.68,452.02,509.35
"261","02ETC0005Z2",508.88,396.05,452.465
"262","02ETC0006Z1",566.61,506.52,536.565
"263","02ETC0006Z11",444.67,422.42,433.545
"264","02ETC0006Z21",523.23,463.38,493.305
"265","02ETC0006Z2",508.4,454.48,481.44
"266","02ETC0007Y1",580.96,446.42,513.69
"267","02ETC0007Y11",531.23,409.05,470.14
"268","02ETC0007Y2",505.28,402.38,453.83
"269","02ETC0007Y12",456.15,394.8,425.475
"270","02ETC0008X1",527.05,501.64,514.345
"271","02ETC0008X11",521.33,442.62,481.975
"272","02ETC0008X21",520.13,383.48,451.805
"273","02ETC0008X2",487.84,532.25,510.045
"274","02ETC0008X12",554.71,478.17,516.44
"275","02ETC0008X22",544.92,416.28,480.6
"276","02ETC0009W1",540.56,400.15,470.355
"277","02ETC0009W11",565.65,402.27,483.96
"278","02ETC0009W2",591.78,537.61,564.695
"279","02ETC0009W12",478.91,369.82,424.365
"280","02ETC0010L1",363.73,291,327.365
"281","02ETC0010L11",461.69,318.02,389.855
"282","02ETC0010L21",539.24,400.12,469.68
"283","02ETC0010L32",517.46,421.5,469.48
"284","02ETC0010L42",555.67,303.78,429.725
"285","02ETC0011K1",436.3,348.69,392.495
"286","02ETC0012J2",573.38,506.88,540.13
"287","02ETC0013I2",492.76,440.9,466.83
"288","02ETC0013I12",497.62,425.77,461.695
"289","02ETC0014H1",498.98,264.41,381.695
"290","02ETC0014H2",472.65,287.04,379.845
"291","02ETC0014H12",555.72,363.11,459.415
"292","02ETC0014H22",466.86,394.09,430.475
"293","02ETC0014H32",466.81,382.83,424.82
"294","02ETC0015G1",522.72,420.72,471.72
"295","02ETC0016F1",515.67,426.83,471.25
"296","02ETC0016F2",551.22,502.35,526.785
"297","02ETC0017E1",466.8,349.65,408.225
"298","02ETC0017E2",458.97,302.06,380.515
"299","02ETC0018D1",537.92,400.13,469.025
"300","02ETC0018D2",519.16,350.14,434.65
"301","02PBH0005L1",422.36,314.43,368.395
"302","02PBH0006K1",400.2,293.4,346.8
"303","02PBH0008I1",550.09,408.53,479.31
"304","02PBH0010X1",352.5,257.21,304.855
"305","02PBH0012V1",561.53,466.84,514.185
"306","02PBH0016R1",600.11,492.32,546.215
"307","02PBH0019O1",559.52,397.28,478.4
"308","02PBH0021C1",506.03,404.12,455.075
"309","02PBH0022B1",628.66,519.21,573.935
"310","02PBH0023A1",600.07,485.93,543
"311","02PBH0024Z1",496.39,422.33,459.36
"312","02PBH0025Z1",478.93,442.66,460.795
"313","02PBH0028W1",557.97,551.09,554.53
"314","02PBH0029V1",571.77,435.62,503.695
"315","02PBH0030K1",674.76,653.5,664.13
"316","02PBH0031J1",427.63,360.93,394.28
"317","02PBH0032I1",600.09,478.62,539.355
"318","02PBH0033H1",400.12,252.43,326.275
"319","02PBH0034G1",594.07,375.86,484.965
"320","02PBH0035F1",570.49,514.96,542.725
"321","02PBH0037D1",600.07,485.93,543
"322","02PBH0039B1",600.06,466.85,533.455
"323","02PBH0040R1",303.78,289,296.39
